,T=5,T=7,T=9,T=11,T=13,T=15,T=17,T=19,T=21,T=23,T=25,T=27,T=29
0,2.313377857208252,2.3197073936462402,2.309636354446411,2.3071789741516113,2.3146541118621826,2.2982177734375,2.2983617782592773,2.294553756713867,2.315072774887085,2.301128625869751,2.3191654682159424,2.2924137115478516,2.301276683807373
1,2.3066320419311523,2.3188765048980713,2.2974131107330322,2.2975423336029053,2.3011865615844727,2.299259901046753,2.284975051879883,2.294968605041504,2.300778388977051,2.305248498916626,2.308084726333618,2.286076068878174,2.300722599029541
2,2.3061904907226562,2.30873703956604,2.2907731533050537,2.2983548641204834,2.3075296878814697,2.3002755641937256,2.2843427658081055,2.295194387435913,2.294700860977173,2.303438901901245,2.3037023544311523,2.27933669090271,2.299710273742676
3,2.3038811683654785,2.3064630031585693,2.2894792556762695,2.296238422393799,2.301616907119751,2.2961504459381104,2.285306453704834,2.294389247894287,2.2939181327819824,2.2978317737579346,2.3032147884368896,2.282069444656372,2.296985626220703
4,2.3021762371063232,2.3057034015655518,2.2874419689178467,2.291602611541748,2.303152322769165,2.2995128631591797,2.278856039047241,2.293790340423584,2.290893077850342,2.286058187484741,2.298783779144287,2.277930736541748,2.297290802001953
5,2.2998974323272705,2.300551414489746,2.280036211013794,2.287052869796753,2.295474052429199,2.2981975078582764,2.2727301120758057,2.292684316635132,2.285916328430176,2.2811458110809326,2.295250654220581,2.276742935180664,2.293003797531128
6,2.297412395477295,2.29884672164917,2.2778995037078857,2.284147262573242,2.2922823429107666,2.2934298515319824,2.2709596157073975,2.2881598472595215,2.2834222316741943,2.2767584323883057,2.2939229011535645,2.2742226123809814,2.2935333251953125
7,2.2948007583618164,2.2961997985839844,2.280928373336792,2.280325174331665,2.2901711463928223,2.2915892601013184,2.2679381370544434,2.286959648132324,2.278855800628662,2.271930456161499,2.2890405654907227,2.2685787677764893,2.2921416759490967
8,2.2936456203460693,2.2947661876678467,2.27632737159729,2.2735581398010254,2.288036823272705,2.2867188453674316,2.26359486579895,2.287632465362549,2.275721311569214,2.26910138130188,2.288357734680176,2.2647807598114014,2.290417432785034
9,2.291948080062866,2.291073799133301,2.2708990573883057,2.27051043510437,2.2829835414886475,2.2831313610076904,2.255781888961792,2.2803401947021484,2.2704474925994873,2.2627809047698975,2.2831625938415527,2.263695478439331,2.288583517074585
10,2.2902865409851074,2.289166212081909,2.268228769302368,2.2668328285217285,2.280503273010254,2.2822680473327637,2.2507779598236084,2.2792932987213135,2.267083168029785,2.2597885131835938,2.2769200801849365,2.26214861869812,2.2885005474090576
11,2.289257049560547,2.284464120864868,2.266047239303589,2.261866569519043,2.274420976638794,2.2781190872192383,2.2497527599334717,2.2758982181549072,2.2643203735351562,2.256229877471924,2.2758989334106445,2.257349729537964,2.2867085933685303
12,2.28869891166687,2.2829511165618896,2.2622411251068115,2.256955862045288,2.268094301223755,2.2774524688720703,2.248762607574463,2.2748355865478516,2.2606399059295654,2.2511532306671143,2.2752327919006348,2.24629807472229,2.2862672805786133
13,2.287324905395508,2.280482769012451,2.2625319957733154,2.252180576324463,2.2666702270507812,2.2731008529663086,2.244536876678467,2.2719221115112305,2.254441261291504,2.2463114261627197,2.271698474884033,2.2486517429351807,2.2833755016326904
14,2.2837464809417725,2.277944564819336,2.261474370956421,2.247279405593872,2.2614142894744873,2.269505739212036,2.2408623695373535,2.2678489685058594,2.2461588382720947,2.243638038635254,2.266728162765503,2.248969793319702,2.2826499938964844
15,2.2828125953674316,2.274880886077881,2.260709762573242,2.2423388957977295,2.2585339546203613,2.2667429447174072,2.236877202987671,2.2637603282928467,2.2407190799713135,2.236668348312378,2.2677063941955566,2.242619752883911,2.278306484222412
16,2.281059741973877,2.272365093231201,2.2593801021575928,2.2379391193389893,2.255202293395996,2.2612271308898926,2.227598190307617,2.2614564895629883,2.2383651733398438,2.2318756580352783,2.2675037384033203,2.2303366661071777,2.2751729488372803
17,2.2795825004577637,2.2692489624023438,2.2540576457977295,2.235429048538208,2.256319761276245,2.252955913543701,2.2296500205993652,2.2603423595428467,2.2300384044647217,2.224493980407715,2.2649660110473633,2.2196297645568848,2.2779035568237305
18,2.2788760662078857,2.267315626144409,2.252232074737549,2.229642629623413,2.252366542816162,2.249967575073242,2.2199409008026123,2.2577927112579346,2.2223076820373535,2.2258362770080566,2.268608570098877,2.2107789516448975,2.2733678817749023
19,2.2764835357666016,2.262782096862793,2.2523491382598877,2.227735996246338,2.244805097579956,2.2477617263793945,2.2116212844848633,2.253401041030884,2.2202210426330566,2.2272613048553467,2.2631118297576904,2.2037532329559326,2.272932291030884
20,2.2739806175231934,2.25972580909729,2.247762680053711,2.2225561141967773,2.2373905181884766,2.242936849594116,2.1984872817993164,2.2516629695892334,2.210435628890991,2.2194149494171143,2.259197950363159,2.2008824348449707,2.2703588008880615
21,2.271951913833618,2.258833646774292,2.243614435195923,2.2185332775115967,2.2299935817718506,2.238504409790039,2.1910862922668457,2.242844343185425,2.209716796875,2.213963270187378,2.25563907623291,2.1856446266174316,2.2667274475097656
22,2.2689361572265625,2.253925085067749,2.241239309310913,2.2130658626556396,2.2210652828216553,2.2356443405151367,2.190406560897827,2.2367217540740967,2.2060794830322266,2.2087090015411377,2.2518551349639893,2.182281255722046,2.2592482566833496
23,2.2668797969818115,2.2502663135528564,2.2366321086883545,2.2135345935821533,2.2156991958618164,2.224459409713745,2.183846950531006,2.230107545852661,2.1950266361236572,2.203103542327881,2.2485435009002686,2.1814119815826416,2.253818988800049
24,2.264295816421509,2.2437098026275635,2.2324440479278564,2.207519292831421,2.2176308631896973,2.2148303985595703,2.17179012298584,2.2232329845428467,2.183164596557617,2.202840566635132,2.2406442165374756,2.1781394481658936,2.252026081085205
25,2.2607975006103516,2.238884925842285,2.2273292541503906,2.1987969875335693,2.212395429611206,2.215000867843628,2.158252000808716,2.217552661895752,2.177839994430542,2.1999704837799072,2.2343807220458984,2.173203229904175,2.246943950653076
26,2.2582778930664062,2.234746217727661,2.2242660522460938,2.188877820968628,2.2060346603393555,2.209285020828247,2.150520086288452,2.2126269340515137,2.1732466220855713,2.1922810077667236,2.22997784614563,2.1715474128723145,2.2369344234466553
27,2.2548346519470215,2.2318601608276367,2.2198333740234375,2.1758110523223877,2.1923108100891113,2.1994941234588623,2.1394641399383545,2.2071633338928223,2.168086051940918,2.1874189376831055,2.224050760269165,2.16353440284729,2.234992742538452
28,2.251563549041748,2.2276666164398193,2.2165141105651855,2.1648378372192383,2.178110361099243,2.1961629390716553,2.1320230960845947,2.2041659355163574,2.165762424468994,2.1830198764801025,2.2167768478393555,2.1582417488098145,2.228731155395508
29,2.2493247985839844,2.219341516494751,2.2122302055358887,2.1534416675567627,2.1701831817626953,2.1899847984313965,2.1252942085266113,2.1974923610687256,2.162428140640259,2.1793429851531982,2.211629629135132,2.1498053073883057,2.2239935398101807
30,2.2443859577178955,2.211548328399658,2.2057158946990967,2.1429901123046875,2.1652960777282715,2.17857027053833,2.1166014671325684,2.1931421756744385,2.159738063812256,2.1741092205047607,2.2039754390716553,2.143049716949463,2.2179973125457764
31,2.2420284748077393,2.20885968208313,2.1956491470336914,2.139521837234497,2.1605472564697266,2.169513463973999,2.107510566711426,2.183487892150879,2.1532301902770996,2.166412115097046,2.1981356143951416,2.1399784088134766,2.2140910625457764
32,2.237309217453003,2.2014212608337402,2.19341778755188,2.131864309310913,2.156026601791382,2.16141414642334,2.095384120941162,2.1743452548980713,2.1460635662078857,2.159294366836548,2.193798065185547,2.1349265575408936,2.2075939178466797
33,2.233921766281128,2.196190595626831,2.1860530376434326,2.1173408031463623,2.1518044471740723,2.1530818939208984,2.088721513748169,2.1659371852874756,2.1404547691345215,2.1528611183166504,2.183945417404175,2.128730297088623,2.2046549320220947
34,2.227078914642334,2.189101219177246,2.1782498359680176,2.099274158477783,2.1443934440612793,2.137380838394165,2.0805044174194336,2.1580183506011963,2.1314940452575684,2.1443543434143066,2.1749355792999268,2.119293212890625,2.1981842517852783
35,2.2229530811309814,2.18683123588562,2.171203374862671,2.0960402488708496,2.1318717002868652,2.1280553340911865,2.0671725273132324,2.151937484741211,2.1244325637817383,2.1408612728118896,2.168565034866333,2.1134824752807617,2.187955379486084
36,2.222228765487671,2.177811861038208,2.164724826812744,2.0907769203186035,2.1231770515441895,2.1201961040496826,2.051190137863159,2.1441798210144043,2.1197240352630615,2.1315934658050537,2.1676361560821533,2.1098124980926514,2.1853115558624268
37,2.2155957221984863,2.1717851161956787,2.1580471992492676,2.0800983905792236,2.112495183944702,2.111966133117676,2.043748378753662,2.1346821784973145,2.112143039703369,2.1258416175842285,2.156665086746216,2.102287530899048,2.173349380493164
38,2.2113633155822754,2.165416717529297,2.148965835571289,2.07000732421875,2.1033167839050293,2.108039379119873,2.035841703414917,2.121596097946167,2.107800245285034,2.11922025680542,2.1451191902160645,2.091355562210083,2.169973611831665
39,2.205152988433838,2.163496255874634,2.1406848430633545,2.0600006580352783,2.094792127609253,2.1023764610290527,2.025322914123535,2.1102089881896973,2.0998809337615967,2.112962484359741,2.1383731365203857,2.085120916366577,2.163778305053711
40,2.199615716934204,2.1619186401367188,2.139423370361328,2.0509932041168213,2.08341121673584,2.0945091247558594,2.0163676738739014,2.0926475524902344,2.095100164413452,2.1043457984924316,2.1259098052978516,2.084301710128784,2.158493757247925
41,2.1972732543945312,2.1527485847473145,2.1332037448883057,2.043818712234497,2.0706608295440674,2.088228464126587,2.006267786026001,2.0903847217559814,2.08701753616333,2.092109203338623,2.120266914367676,2.0771806240081787,2.1508381366729736
42,2.1918909549713135,2.1467649936676025,2.1237199306488037,2.038753032684326,2.0652456283569336,2.080664873123169,2.000988483428955,2.084604024887085,2.079519033432007,2.082697868347168,2.1088428497314453,2.074822425842285,2.1454555988311768
43,2.1916043758392334,2.1385133266448975,2.1122524738311768,2.0287699699401855,2.061784267425537,2.0736474990844727,1.9916855096817017,2.07106614112854,2.0785977840423584,2.0668132305145264,2.101961612701416,2.0719857215881348,2.140496253967285
44,2.1855504512786865,2.1298694610595703,2.104762315750122,2.0162599086761475,2.051060676574707,2.0668859481811523,1.9803872108459473,2.0623648166656494,2.074732780456543,2.064696788787842,2.091047763824463,2.068418502807617,2.139291763305664
45,2.1839640140533447,2.1220130920410156,2.0919837951660156,2.011110305786133,2.0433106422424316,2.0543882846832275,1.969704270362854,2.0574774742126465,2.0685274600982666,2.058558464050293,2.0849950313568115,2.0649468898773193,2.133152723312378
46,2.179330587387085,2.1148974895477295,2.085195541381836,2.0000593662261963,2.035231113433838,2.050257682800293,1.9602668285369873,2.048227548599243,2.0584557056427,2.0474536418914795,2.0751636028289795,2.062319755554199,2.1260550022125244
47,2.174351453781128,2.106307029724121,2.073835849761963,1.999290943145752,2.0247199535369873,2.042140007019043,1.9533650875091553,2.040935754776001,2.048651933670044,2.0402679443359375,2.068046808242798,2.0595815181732178,2.119945764541626
