,T=5,T=7,T=9,T=11,T=13,T=15,T=17,T=19,T=21,T=23,T=25,T=27,T=29
0,2.299748420715332,2.3058021068573,2.3006927967071533,2.288454532623291,2.320493459701538,2.303406000137329,2.321206569671631,2.2882847785949707,2.3317956924438477,2.322502374649048,2.30338978767395,2.313854932785034,2.28719162940979
1,2.299384832382202,2.3010222911834717,2.287890672683716,2.2993383407592773,2.3081886768341064,2.2966911792755127,2.3042547702789307,2.281020164489746,2.3246335983276367,2.3006365299224854,2.3056299686431885,2.305553436279297,2.277231216430664
2,2.296586036682129,2.29693341255188,2.282945394515991,2.3021903038024902,2.3032219409942627,2.2973673343658447,2.2985341548919678,2.274951696395874,2.3188416957855225,2.293545722961426,2.302560329437256,2.3011605739593506,2.2683043479919434
3,2.297969102859497,2.2910306453704834,2.2838430404663086,2.296764612197876,2.2937870025634766,2.297879695892334,2.300572395324707,2.271397352218628,2.3118419647216797,2.2898738384246826,2.2974038124084473,2.3035013675689697,2.269911766052246
4,2.297187089920044,2.2885501384735107,2.2841250896453857,2.2964329719543457,2.2923617362976074,2.2977476119995117,2.2944984436035156,2.2682535648345947,2.3065879344940186,2.2812283039093018,2.2942843437194824,2.3003339767456055,2.2651724815368652
5,2.2943711280822754,2.28615403175354,2.2766940593719482,2.2940709590911865,2.2887837886810303,2.2985949516296387,2.2941367626190186,2.264723062515259,2.3010828495025635,2.2776939868927,2.287656784057617,2.294786214828491,2.2622878551483154
6,2.2918217182159424,2.2821826934814453,2.2778689861297607,2.290743827819824,2.2867045402526855,2.2984533309936523,2.2922556400299072,2.261275053024292,2.299436092376709,2.2702558040618896,2.2838690280914307,2.2900233268737793,2.252535343170166
7,2.2898290157318115,2.278764009475708,2.2762081623077393,2.2883594036102295,2.283951759338379,2.2976083755493164,2.291257858276367,2.25496244430542,2.2964744567871094,2.264718532562256,2.281177282333374,2.285348892211914,2.2476160526275635
8,2.287639617919922,2.274492025375366,2.271009922027588,2.286606550216675,2.2782092094421387,2.2994885444641113,2.2913320064544678,2.2502739429473877,2.291109323501587,2.261199474334717,2.27717661857605,2.2804007530212402,2.2420573234558105
9,2.2844185829162598,2.272019147872925,2.2696614265441895,2.2848715782165527,2.2732694149017334,2.2951509952545166,2.289170742034912,2.249445915222168,2.285926103591919,2.2564189434051514,2.2741212844848633,2.2763891220092773,2.2442803382873535
