,T=5,T=7,T=9,T=11,T=13,T=15,T=17,T=19,T=21,T=23,T=25,T=27,T=29
0,136.1476684,102.6907258,231.4896109,280.2990777,326.757513,374.1331732,424.0086262,464.9707172,518.3139949,560.3355689,610.4039953,661.5914161,707.15943
1,0.172002479,0.151777267,0.114141777,0.102051787,0.089671969,0.164333776,0.117687434,0.10256552,0.107403226,0.111374505,0.102816045,0.0933377,0.114083506
2,0.923666418,0.936774909,0.952350438,0.954838932,0.960118592,0.929054201,0.948590875,0.956126213,0.953062773,0.954367161,0.956222296,0.961162984,0.949167132
