,T=5,T=7,T=9,T=11,T=13,T=15,T=17,T=19,T=21,T=23,T=25,T=27,T=29
0,2.654695510864258,2.4169323444366455,2.3565120697021484,2.540297031402588,2.3737566471099854,2.412881851196289,2.5089526176452637,2.3578217029571533,2.551034688949585,2.3702499866485596,2.459836006164551,2.373911142349243,2.443826913833618
1,2.5452208518981934,2.3800745010375977,2.3499972820281982,2.435018301010132,2.4672768115997314,2.412759780883789,2.4779884815216064,2.405860662460327,2.5441601276397705,2.3082802295684814,2.452543020248413,2.378399610519409,2.4773857593536377
2,2.510795831680298,2.413806200027466,2.3283004760742188,2.412714958190918,2.4053268432617188,2.383978843688965,2.4868383407592773,2.422636032104492,2.4992382526397705,2.290891170501709,2.480531930923462,2.3560733795166016,2.4626762866973877
3,2.505322217941284,2.378530502319336,2.3225646018981934,2.4190359115600586,2.39587140083313,2.3581600189208984,2.4467241764068604,2.4071779251098633,2.4750924110412598,2.28210186958313,2.4834258556365967,2.3468010425567627,2.441838026046753
4,2.4804611206054688,2.3599119186401367,2.326843738555908,2.3976728916168213,2.382157325744629,2.3346550464630127,2.436056137084961,2.38927960395813,2.4544098377227783,2.2753849029541016,2.479022741317749,2.3300342559814453,2.4286949634552
5,2.459303379058838,2.358691930770874,2.324525833129883,2.3951573371887207,2.366257429122925,2.33614444732666,2.404446601867676,2.3738105297088623,2.441591739654541,2.2684338092803955,2.46714186668396,2.332923650741577,2.414036273956299
6,2.450247049331665,2.3397908210754395,2.321488857269287,2.3852014541625977,2.3517143726348877,2.316559076309204,2.3925366401672363,2.3590545654296875,2.437741994857788,2.278017520904541,2.4487216472625732,2.309772491455078,2.397282123565674
7,2.4381885528564453,2.346141815185547,2.3223137855529785,2.375507116317749,2.351008176803589,2.312093496322632,2.382908821105957,2.3426613807678223,2.4142065048217773,2.264669418334961,2.429563045501709,2.3050713539123535,2.392086982727051
8,2.430307626724243,2.343536615371704,2.3138647079467773,2.3593854904174805,2.3372414112091064,2.298595428466797,2.3749756813049316,2.3303041458129883,2.3963115215301514,2.2514469623565674,2.4151201248168945,2.298741340637207,2.379457950592041
9,2.40848445892334,2.331477165222168,2.3125534057617188,2.3482089042663574,2.3218235969543457,2.2860991954803467,2.364938735961914,2.321535110473633,2.3857688903808594,2.244248390197754,2.4027061462402344,2.2863755226135254,2.3590009212493896
10,2.3916194438934326,2.320307970046997,2.3041250705718994,2.3406858444213867,2.321364402770996,2.2770488262176514,2.352613687515259,2.3163533210754395,2.367130994796753,2.2378461360931396,2.3909311294555664,2.27002215385437,2.3517818450927734
11,2.3761019706726074,2.3115804195404053,2.2985758781433105,2.3391592502593994,2.314441442489624,2.273151159286499,2.342963457107544,2.311729669570923,2.3623359203338623,2.2248387336730957,2.38069748878479,2.253028631210327,2.339197874069214
12,2.35703706741333,2.3040874004364014,2.2855491638183594,2.33219575881958,2.300492525100708,2.276853084564209,2.3327102661132812,2.30161714553833,2.3508739471435547,2.226980686187744,2.3692855834960938,2.2473573684692383,2.333695888519287
13,2.3486483097076416,2.2947793006896973,2.2702581882476807,2.3198254108428955,2.292724847793579,2.2716922760009766,2.3289947509765625,2.2890424728393555,2.3399341106414795,2.2186951637268066,2.3553476333618164,2.2382662296295166,2.3249359130859375
14,2.338383436203003,2.2882776260375977,2.262515068054199,2.31199049949646,2.2824740409851074,2.2648167610168457,2.318686008453369,2.2838964462280273,2.327850580215454,2.212027072906494,2.344235420227051,2.2257919311523438,2.318723678588867
15,2.3287742137908936,2.2770986557006836,2.2589058876037598,2.3009774684906006,2.274526834487915,2.260098457336426,2.314324140548706,2.272841215133667,2.313382863998413,2.2085120677948,2.334714412689209,2.218883752822876,2.310558795928955
16,2.326608657836914,2.2711477279663086,2.253194570541382,2.2910749912261963,2.265554666519165,2.2507922649383545,2.3009698390960693,2.268407106399536,2.3036093711853027,2.2051193714141846,2.3234915733337402,2.2152152061462402,2.3000380992889404
17,2.31412410736084,2.2664332389831543,2.2491631507873535,2.2900962829589844,2.2581615447998047,2.2461442947387695,2.295011281967163,2.2557103633880615,2.295604944229126,2.1977951526641846,2.3193655014038086,2.2041125297546387,2.2908785343170166
18,2.3031585216522217,2.261759042739868,2.2453908920288086,2.2798550128936768,2.253270387649536,2.238455057144165,2.2872233390808105,2.247321605682373,2.286223888397217,2.191192388534546,2.3100976943969727,2.2010691165924072,2.2886903285980225
19,2.2976183891296387,2.253685235977173,2.2408816814422607,2.268263578414917,2.24285626411438,2.2345831394195557,2.2764291763305664,2.2418570518493652,2.276038646697998,2.180166006088257,2.3035600185394287,2.1895034313201904,2.2816336154937744
20,2.290743589401245,2.248682737350464,2.2322232723236084,2.263517379760742,2.2349767684936523,2.2292792797088623,2.2719221115112305,2.23481822013855,2.2657649517059326,2.171103000640869,2.28936505317688,2.1847283840179443,2.2704646587371826
21,2.2820498943328857,2.245161771774292,2.229130268096924,2.2579030990600586,2.227372169494629,2.2269086837768555,2.268958330154419,2.2294199466705322,2.25888991355896,2.166543483734131,2.279498815536499,2.1757290363311768,2.2641263008117676
22,2.2701265811920166,2.238588333129883,2.22408127784729,2.2502529621124268,2.2217965126037598,2.223752021789551,2.261643886566162,2.2206156253814697,2.248398780822754,2.1565682888031006,2.2675068378448486,2.1716065406799316,2.2580599784851074
23,2.2652318477630615,2.232346534729004,2.21405291557312,2.2434020042419434,2.212414503097534,2.216432571411133,2.254020929336548,2.209010601043701,2.240640163421631,2.149369239807129,2.260847330093384,2.1647214889526367,2.2522361278533936
24,2.2547073364257812,2.228872299194336,2.2042648792266846,2.2351536750793457,2.20585036277771,2.2105517387390137,2.2464561462402344,2.2041571140289307,2.232481002807617,2.141227960586548,2.2510035037994385,2.1545791625976562,2.2412288188934326
25,2.2489869594573975,2.2219135761260986,2.1979568004608154,2.227888584136963,2.199198007583618,2.204850912094116,2.237855911254883,2.1937146186828613,2.2202470302581787,2.1306581497192383,2.2415664196014404,2.147555112838745,2.233811616897583
26,2.237819194793701,2.214660882949829,2.192838430404663,2.2209014892578125,2.1894946098327637,2.200758218765259,2.2289321422576904,2.1888930797576904,2.2080764770507812,2.1192264556884766,2.2327985763549805,2.1441330909729004,2.2241342067718506
27,2.231200933456421,2.207167863845825,2.1885106563568115,2.2136805057525635,2.1785638332366943,2.1937012672424316,2.2213690280914307,2.1823909282684326,2.1980440616607666,2.1112911701202393,2.2257566452026367,2.1354777812957764,2.213808536529541
28,2.2245261669158936,2.196643829345703,2.1867785453796387,2.202488422393799,2.172264575958252,2.186304807662964,2.2096800804138184,2.1775333881378174,2.187281370162964,2.1063342094421387,2.219064235687256,2.1248960494995117,2.2077629566192627
29,2.213284492492676,2.189103841781616,2.1802279949188232,2.1989850997924805,2.1676394939422607,2.1796529293060303,2.1993484497070312,2.169823169708252,2.1794207096099854,2.0960476398468018,2.210118293762207,2.1188108921051025,2.2031283378601074
30,2.20318865776062,2.1847617626190186,2.1708760261535645,2.1898059844970703,2.15976881980896,2.1747634410858154,2.1917319297790527,2.1646740436553955,2.165634870529175,2.090012550354004,2.203892707824707,2.1138534545898438,2.1913132667541504
