,T=5,T=7,T=9,T=11,T=13,T=15,T=17,T=19,T=21,T=23,T=25,T=27,T=29
0,2.3349978923797607,2.3052902221679688,2.306638479232788,2.2799432277679443,2.2974789142608643,2.3368709087371826,2.3321220874786377,2.3218467235565186,2.3157529830932617,2.30755615234375,2.2875232696533203,2.3308792114257812,2.2870523929595947
1,2.3173797130584717,2.314814805984497,2.2999703884124756,2.296936273574829,2.279491662979126,2.3290719985961914,2.328427314758301,2.2929272651672363,2.3001022338867188,2.29116153717041,2.29670786857605,2.325131416320801,2.273435592651367
2,2.314586877822876,2.315375566482544,2.290449619293213,2.3001363277435303,2.2800188064575195,2.3238091468811035,2.318983554840088,2.276211738586426,2.2940902709960938,2.293488025665283,2.2945568561553955,2.3143279552459717,2.2644715309143066
3,2.3125219345092773,2.3042593002319336,2.2820241451263428,2.296400547027588,2.276538848876953,2.3179099559783936,2.3083083629608154,2.276484489440918,2.294135332107544,2.290686845779419,2.2943172454833984,2.316589593887329,2.265378713607788
4,2.3103392124176025,2.298774242401123,2.2787580490112305,2.290571451187134,2.273585557937622,2.311833143234253,2.3059403896331787,2.26253080368042,2.2848143577575684,2.287877082824707,2.289231538772583,2.3070156574249268,2.2688910961151123
5,2.3090622425079346,2.294452428817749,2.2791740894317627,2.2945334911346436,2.271191120147705,2.3037002086639404,2.3042943477630615,2.259788751602173,2.2822189331054688,2.283452272415161,2.2867562770843506,2.306593894958496,2.26871657371521
6,2.308006763458252,2.2888903617858887,2.276527166366577,2.291163444519043,2.2704381942749023,2.298367977142334,2.29722261428833,2.2647149562835693,2.2756922245025635,2.2762272357940674,2.280158281326294,2.300046443939209,2.261570930480957
7,2.304215431213379,2.2918894290924072,2.272143602371216,2.2886242866516113,2.26418137550354,2.29384708404541,2.29213547706604,2.2664971351623535,2.276365280151367,2.2691454887390137,2.2821273803710938,2.297556161880493,2.2576000690460205
8,2.299957036972046,2.292266607284546,2.270277261734009,2.283782482147217,2.259016513824463,2.287759304046631,2.2891407012939453,2.2647690773010254,2.2709224224090576,2.268306016921997,2.2765731811523438,2.2929742336273193,2.2541072368621826
9,2.2944836616516113,2.288881540298462,2.2685210704803467,2.2799203395843506,2.249678134918213,2.2860445976257324,2.283644914627075,2.2559621334075928,2.268846035003662,2.2606961727142334,2.2743005752563477,2.2904293537139893,2.2504019737243652
10,2.290708065032959,2.2854371070861816,2.2659413814544678,2.275235891342163,2.2452239990234375,2.280806541442871,2.2794747352600098,2.2498254776000977,2.2661397457122803,2.259256362915039,2.2698121070861816,2.2895495891571045,2.249382734298706
11,2.2877893447875977,2.2841250896453857,2.2646260261535645,2.270258903503418,2.245448350906372,2.2781474590301514,2.276111364364624,2.244908571243286,2.2634241580963135,2.2563602924346924,2.267648458480835,2.281222105026245,2.2426483631134033
12,2.2854509353637695,2.2804811000823975,2.260580539703369,2.2681775093078613,2.238266706466675,2.273895263671875,2.2734272480010986,2.242288589477539,2.2625725269317627,2.251563787460327,2.2640087604522705,2.2774109840393066,2.241283893585205
13,2.28218150138855,2.2792036533355713,2.2567551136016846,2.261457920074463,2.2320737838745117,2.2705113887786865,2.2687954902648926,2.2389750480651855,2.261657476425171,2.25201678276062,2.259258985519409,2.272904634475708,2.2384517192840576
14,2.2806501388549805,2.275118112564087,2.2515671253204346,2.2582907676696777,2.2308671474456787,2.2677886486053467,2.2652666568756104,2.23371958732605,2.2584304809570312,2.2519452571868896,2.2570958137512207,2.2708523273468018,2.2320749759674072
15,2.278384208679199,2.2684175968170166,2.2472543716430664,2.2544662952423096,2.223982334136963,2.2611098289489746,2.261784553527832,2.2298073768615723,2.255065679550171,2.249722480773926,2.251957654953003,2.270040273666382,2.2286179065704346
16,2.2765190601348877,2.2656869888305664,2.2444331645965576,2.2521016597747803,2.2214624881744385,2.2560272216796875,2.2605173587799072,2.228295087814331,2.253478765487671,2.247945547103882,2.252671957015991,2.2636892795562744,2.223062753677368
17,2.273491859436035,2.2604169845581055,2.2409982681274414,2.2489511966705322,2.2176928520202637,2.2524242401123047,2.259399890899658,2.222102165222168,2.251115083694458,2.2415854930877686,2.248427152633667,2.262249708175659,2.218379259109497
18,2.269345998764038,2.2561779022216797,2.2373127937316895,2.2429747581481934,2.2163331508636475,2.2493693828582764,2.2567920684814453,2.220052719116211,2.248725414276123,2.2378180027008057,2.242655038833618,2.257713556289673,2.212773323059082
19,2.2671217918395996,2.2497997283935547,2.233774185180664,2.2385618686676025,2.2110257148742676,2.2489237785339355,2.2541024684906006,2.22021484375,2.24504017829895,2.2359368801116943,2.2405214309692383,2.253267288208008,2.209282159805298
20,2.2630367279052734,2.2478106021881104,2.2306132316589355,2.238744020462036,2.208270311355591,2.252070188522339,2.2526800632476807,2.217008113861084,2.2403910160064697,2.231132984161377,2.2340877056121826,2.2482175827026367,2.200204849243164
21,2.2581565380096436,2.2426047325134277,2.224911689758301,2.233030319213867,2.200052261352539,2.2529428005218506,2.248739004135132,2.2134315967559814,2.2351040840148926,2.23091721534729,2.2326302528381348,2.2431576251983643,2.1949777603149414
22,2.256967782974243,2.23824405670166,2.2224905490875244,2.230329990386963,2.199720859527588,2.2540156841278076,2.248206377029419,2.2085981369018555,2.2322945594787598,2.229370355606079,2.2281997203826904,2.241055965423584,2.190361499786377
23,2.25417423248291,2.2300219535827637,2.219228744506836,2.223451852798462,2.191993236541748,2.2516486644744873,2.240777015686035,2.200031280517578,2.229343891143799,2.2218210697174072,2.2239785194396973,2.2375640869140625,2.1909995079040527
24,2.2535107135772705,2.229179859161377,2.214489459991455,2.219226360321045,2.189098358154297,2.246750831604004,2.2346765995025635,2.1997950077056885,2.228595495223999,2.219142436981201,2.2210450172424316,2.232717514038086,2.1848344802856445
25,2.2498881816864014,2.226886510848999,2.2082507610321045,2.216156482696533,2.181292772293091,2.242556095123291,2.232571601867676,2.1936349868774414,2.2249245643615723,2.214261293411255,2.21677303314209,2.226861000061035,2.181401014328003
